                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7422,                0.48182,                0.96965,                0.96102,                0.94191,                 0.9733,                 0.7929,                0.77969,                 0.3809,                 0.9972,               0.006535,               0.006535,               0.006535
                     37,                0.74173,                0.48801,                0.97153,                0.96002,                0.93791,                0.96919,                0.78694,                0.80142,                0.38809,                  1.003,               0.006436,               0.006436,               0.006436
                     38,                0.73042,                0.47154,                0.96391,                 0.9722,                0.93842,                0.97623,                 0.7979,                0.77369,                0.36237,                0.99307,               0.006337,               0.006337,               0.006337
                     39,                0.73131,                0.47337,                0.96681,                0.95373,                0.94743,                0.97264,                0.79819,                0.77335,                0.37169,                0.99376,               0.006238,               0.006238,               0.006238
                     40,                0.72768,                0.46504,                0.96153,                0.96712,                0.93582,                0.97033,                 0.7826,                0.81002,                0.39231,                 1.0031,               0.006139,               0.006139,               0.006139
                     41,                0.71838,                0.45255,                0.95566,                0.96169,                0.95103,                 0.9746,                0.79426,                0.77843,                0.36811,                0.99311,                0.00604,                0.00604,                0.00604
                     42,                0.71142,                0.46538,                0.96298,                0.96372,                0.95179,                0.97171,                0.79243,                0.77961,                 0.3617,                0.99769,               0.005941,               0.005941,               0.005941
                     43,                0.71263,                0.45369,                0.95738,                0.96478,                0.95238,                0.97338,                0.79662,                 0.7806,                 0.3673,                0.99374,               0.005842,               0.005842,               0.005842
                     44,                 0.7078,                0.45453,                0.95408,                0.95792,                0.95313,                0.97411,                0.79472,                0.78679,                0.36922,                0.99936,               0.005743,               0.005743,               0.005743
                     45,                0.70378,                0.44977,                0.95665,                0.96157,                0.95195,                0.97328,                0.78856,                0.79081,                0.36104,                0.99903,               0.005644,               0.005644,               0.005644
                     46,                0.70367,                0.44314,                0.95465,                0.96447,                0.95051,                 0.9745,                0.79764,                 0.7767,                0.35164,                0.99074,               0.005545,               0.005545,               0.005545
                     47,                0.69712,                0.44604,                0.95513,                0.97018,                0.94102,                0.97359,                0.79389,                0.78069,                0.36324,                0.99522,               0.005446,               0.005446,               0.005446
                     48,                0.69191,                0.43496,                0.95418,                0.96107,                0.93786,                0.97121,                0.79222,                0.78689,                0.36888,                 1.0002,               0.005347,               0.005347,               0.005347
                     49,                0.69114,                 0.4343,                0.95027,                0.96215,                0.94443,                 0.9733,                 0.7869,                0.80938,                0.37367,                 1.0105,               0.005248,               0.005248,               0.005248
                     50,                0.67935,                0.43219,                0.94881,                0.96965,                0.94523,                0.97661,                0.79609,                0.79382,                0.36255,                 1.0036,               0.005149,               0.005149,               0.005149
                     51,                0.67894,                0.42896,                0.94892,                0.96602,                 0.9505,                0.97278,                0.79426,                0.79426,                0.36321,                 1.0016,                0.00505,                0.00505,                0.00505
                     52,                0.68228,                0.42464,                0.94616,                0.96238,                0.93861,                0.96938,                0.79089,                0.79894,                0.37705,                  1.005,               0.004951,               0.004951,               0.004951
                     53,                0.67525,                0.43338,                0.95084,                0.96135,                0.94563,                0.97317,                0.79101,                0.80988,                0.37084,                 1.0097,               0.004852,               0.004852,               0.004852
                     54,                0.67548,                0.42556,                0.94186,                0.96975,                0.94349,                0.97541,                0.79433,                 0.8014,                0.36451,                 1.0067,               0.004753,               0.004753,               0.004753
                     55,                0.67039,                0.41889,                0.94504,                0.96824,                 0.9488,                0.97635,                0.79895,                0.78761,                 0.3517,                 0.9963,               0.004654,               0.004654,               0.004654
                     56,                0.66447,                0.42004,                0.94166,                0.97233,                0.95304,                0.97631,                0.79668,                0.78944,                0.35202,                 1.0009,               0.004555,               0.004555,               0.004555
                     57,                0.65791,                0.41089,                0.93496,                0.96857,                0.94866,                0.97532,                0.79731,                0.78695,                0.35109,                 1.0001,               0.004456,               0.004456,               0.004456
                     58,                0.65222,                0.40829,                0.93629,                0.96008,                0.95366,                0.97574,                0.79779,                0.79836,                0.36348,                 1.0072,               0.004357,               0.004357,               0.004357
                     59,                0.64552,                0.40792,                0.93411,                  0.968,                0.94895,                0.97454,                0.79058,                0.80966,                0.36102,                 1.0104,               0.004258,               0.004258,               0.004258
